Frame,Rz,Ry,Rx,Tx,Ty,Tz,Tz
2215974,6.6691412,6.5030443,91.4480706,-1.669,-43.02,-85.087,-3.70E+28
2215982,6.6718054,6.5049805,91.4539109,-1.665,-43.012,-85.094,-3.70E+28
2215990,6.6823542,6.5153336,91.4533225,-1.641,-43.02,-85.101,-3.70E+28
2215998,6.6903367,6.5233281,91.4514694,-1.645,-43.025,-85.12,-3.70E+28
2216006,6.684472,6.5178439,91.4494013,-1.662,-43.025,-85.112,-3.70E+28
2216014,6.6446236,6.4772757,91.464543,-1.723,-42.98,-85.07,-3.70E+28
2216022,6.6497361,6.4855459,91.4354533,-1.749,-42.964,-84.951,-3.70E+28
2216030,6.7116239,6.5332614,91.5464967,-1.709,-42.964,-85.169,-3.70E+28
2216038,6.7457978,6.5331089,91.8393739,-1.69,-42.976,-85.467,-3.70E+28
2216046,6.7756371,6.5241004,92.171871,-1.7,-42.968,-85.732,-3.70E+28
2216054,6.8018931,6.5176665,92.4504126,-1.676,-42.943,-86.049,-3.70E+28
2216062,6.8773664,6.5672921,92.6484249,-1.609,-42.963,-86.366,-3.70E+28
2216070,6.906336,6.586222,92.7244855,-1.602,-42.987,-86.49,-3.70E+28
2216078,6.8769013,6.5556181,92.7465939,-1.629,-42.97,-86.495,-3.70E+28
2216086,6.8657485,6.5461501,92.7363763,-1.625,-42.973,-86.472,-3.70E+28
2216094,6.8726666,6.5549596,92.7170177,-1.599,-42.985,-86.458,-3.70E+28
2216102,6.8773998,6.5598623,92.7136315,-1.595,-42.991,-86.467,-3.70E+28
2216110,6.8752843,6.5560745,92.7291106,-1.61,-42.982,-86.496,-3.70E+28
2216118,6.8781023,6.5548804,92.7630661,-1.636,-42.944,-86.521,-3.70E+28
2216126,6.8197975,6.5060012,92.7039915,-1.708,-42.937,-86.265,-3.70E+28
2216134,6.8446399,6.5208283,92.7820183,-1.699,-42.913,-86.42,-3.70E+28
2216142,6.9417506,6.5843089,93.0345432,-1.638,-42.926,-86.774,-3.70E+28
2216150,6.9963281,6.5914216,93.4217484,-1.611,-42.929,-87.176,-3.70E+28
2216158,7.0399374,6.5838188,93.8440852,-1.605,-42.888,-87.661,-3.70E+28
2216166,7.0765076,6.5831704,94.1466191,-1.545,-42.869,-87.953,-3.70E+28
2216174,7.1542586,6.6450758,94.2366156,-1.499,-42.902,-88.153,-3.70E+28
2216182,7.1598374,6.6494362,94.2437042,-1.52,-42.907,-88.176,-3.70E+28
2216190,7.1208925,6.612531,94.2499715,-1.542,-42.899,-88.126,-3.70E+28
2216198,7.0918447,6.5868133,94.2389645,-1.545,-42.892,-88.073,-3.70E+28
2216206,7.1056463,6.6013312,94.2242625,-1.515,-42.904,-88.071,-3.70E+28
2216214,7.125208,6.6179406,94.2378486,-1.51,-42.9,-88.11,-3.70E+28
2216222,7.1414507,6.6313887,94.2520404,-1.574,-42.884,-88.184,-3.70E+28
2216230,7.1389265,6.6309571,94.2355165,-1.592,-42.875,-88.061,-3.70E+28
2216238,7.1172643,6.5919747,94.3990572,-1.597,-42.861,-88.221,-3.70E+28
2216246,7.2084473,6.6372129,94.7365412,-1.433,-42.882,-88.702,-3.70E+28
2216254,7.2324159,6.6433781,94.8734436,-1.399,-42.872,-88.856,-3.70E+28
2216262,7.2634512,6.6670035,94.9154292,-1.419,-42.848,-88.984,-3.70E+28
2216270,7.2583452,6.6657946,94.8855529,-1.465,-42.854,-88.904,-3.70E+28
2216278,7.2207358,6.6317453,94.8812037,-1.488,-42.851,-88.837,-3.70E+28
2216286,7.1910391,6.6078641,94.8517177,-1.488,-42.861,-88.74,-3.70E+28
2216294,7.2142787,6.6282637,94.86004,-1.47,-42.863,-88.783,-3.70E+28
2216302,7.249077,6.6584767,94.8752646,-1.467,-42.869,-88.855,-3.70E+28
2216310,7.2471251,6.6558988,94.8820057,-1.485,-42.866,-88.865,-3.70E+28
2216318,7.2107825,6.6237949,94.8708823,-1.509,-42.85,-88.791,-3.70E+28
2216326,7.2155851,6.628859,94.8652663,-1.527,-42.833,-88.802,-3.70E+28
2216334,7.2233677,6.6385092,94.8437358,-1.532,-42.834,-88.66,-3.70E+28
2216342,7.2591678,6.6620422,94.9242574,-1.523,-42.853,-88.804,-3.70E+28
2216350,7.2794088,6.6359068,95.3084076,-1.45,-42.83,-89.089,-3.70E+28
2216358,7.3618912,6.6539377,95.797602,-1.49,-42.753,-89.72,-3.70E+28
2216366,7.3981071,6.6485909,96.1239373,-1.417,-42.712,-90.057,-3.70E+28
2216374,7.520618,6.7401625,96.2811684,-1.39,-42.724,-90.397,-3.70E+28
2216382,7.4892737,6.7114934,96.2859465,-1.415,-42.744,-90.349,-3.70E+28
2216390,7.4528303,6.6797869,96.2776535,-1.439,-42.731,-90.304,-3.70E+28
2216398,7.4471214,6.6772648,96.2554442,-1.411,-42.73,-90.265,-3.70E+28
2216406,7.4760647,6.705173,96.2389038,-1.387,-42.748,-90.281,-3.70E+28
2216414,7.4771754,6.7057906,96.2421315,-1.399,-42.753,-90.294,-3.70E+28
2216422,7.4627398,6.6921026,96.248396,-1.425,-42.743,-90.282,-3.70E+28
2216430,7.4398975,6.6711449,96.2523564,-1.461,-42.694,-90.263,-3.70E+28
2216438,7.4576271,6.6903818,96.2239318,-1.51,-42.68,-90.118,-3.70E+28
2216446,7.4541942,6.6775873,96.3069036,-1.532,-42.689,-90.158,-3.70E+28
2216454,7.5526636,6.7174733,96.716321,-1.469,-42.656,-90.75,-3.70E+28
2216462,7.6578644,6.7675775,97.0817959,-1.375,-42.64,-91.223,-3.70E+28
2216470,7.6514254,6.7276574,97.3708987,-1.361,-42.594,-91.467,-3.70E+28
2216478,7.6805036,6.7416467,97.4687643,-1.344,-42.584,-91.546,-3.70E+28
2216486,7.6783873,6.7409424,97.4590104,-1.322,-42.598,-91.541,-3.70E+28
2216494,7.7101015,6.7672486,97.4720958,-1.328,-42.615,-91.606,-3.70E+28
2216502,7.7041457,6.7598795,97.4901013,-1.356,-42.607,-91.636,-3.70E+28
2216510,7.6874959,6.7468568,97.4766257,-1.348,-42.608,-91.594,-3.70E+28
2216518,7.6789043,6.7418703,97.4550086,-1.33,-42.611,-91.548,-3.70E+28
2216526,7.6741429,6.7376364,97.4554371,-1.338,-42.592,-91.538,-3.70E+28
2216534,7.6518742,6.7178243,97.4575351,-1.446,-42.544,-91.563,-3.70E+28
2216542,7.6042063,6.679703,97.4255059,-1.522,-42.535,-91.344,-3.70E+28
2216550,7.7322122,6.7576874,97.715709,-1.411,-42.505,-91.807,-3.70E+28
2216558,7.9118786,6.8569163,98.1940811,-1.272,-42.495,-92.487,-3.70E+28
